,IMGid,Latitude,Longitude,file_path,LSOA_naming,lsoa_code,IMD_Q,LSOA_name
0,IMG_6369,53.80741944444444,-1.4697583333333335,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6369.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6370,53.80753055555555,-1.4696250000000002,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6370.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6371,53.80753055555555,-1.4696055555555556,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6371.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6372,53.80758333333333,-1.468788888888889,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6372.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6373,53.807713888888884,-1.468763888888889,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6373.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6375,53.807158333333334,-1.4688472222222224,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6375.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6376,53.807111111111105,-1.4691611111111111,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6376.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6377,53.806952777777774,-1.4707194444444445,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6377.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6378,53.80683611111111,-1.4716444444444445,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6378.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6379,53.80681666666666,-1.4717,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6379.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6380,53.8064,-1.4739722222222222,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6380.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6384,53.80608611111111,-1.4745583333333334,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6384.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6385,53.80577777777778,-1.4751305555555556,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6385.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6386,53.805455555555554,-1.4751166666666669,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6386.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6387,53.805125,-1.4745361111111113,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6387.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6388,53.803324999999994,-1.4732027777777779,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6388.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6389,53.80602777777778,-1.4740555555555557,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6389.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6390,53.80542777777777,-1.4758916666666668,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6390.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6391,53.80544722222222,-1.4759472222222223,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6391.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6393,53.804991666666666,-1.4774083333333334,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6393.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6394,53.803105555555554,-1.4832305555555556,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6394.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6395,53.803105555555554,-1.4832444444444446,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6395.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6396,53.80229166666666,-1.4857916666666666,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6396.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
0,IMG_6397,53.80217777777777,-1.4859916666666668,C:/Users/mediwils/Downloads/ImagesFromLeedsLSOAs/E01011341_Q2_VeritysDunhills\IMG_6397.JPG,E01011341_Q2_VeritysDunhills,E01011341,Q2,VeritysDunhills
